frequency_Hz,TE_magnitude,analytic_TE30,analytic_TE0,magnitude_error_db
4000000000.0,0.5993039011955261,0.6427192321630446,0.5807025884298926,-0.6074838156916798
4125000000.0,0.6173198819160461,0.6477057150232552,0.5852876192998607,-0.41734929244246644
4250000000.0,0.6337721943855286,0.6520752732719194,0.5892305891148852,-0.24729101334118955
4375000000.0,0.6462633013725281,0.6558464413958535,0.5925445990533489,-0.12785343172452793
4500000000.0,0.654829740524292,0.659035316203913,0.5952407889492943,-0.055605849001421376
4625000000.0,0.6608589887619019,0.6616555765328309,0.5973283062115685,-0.010463513194692606
4750000000.0,0.6658200025558472,0.663718505332439,0.5988142840279309,0.02745823163472147
4875000000.0,0.6706855893135071,0.6652330114649637,0.5997038266394055,0.07090364996804711
5000000000.0,0.6756769418716431,0.666205649148934,0.5999999999999999,0.12261574900794554
5125000000.0,0.6803236603736877,0.6666406334964796,0.5997038266394055,0.17647587292374686
5250000000.0,0.6835446357727051,0.6665398510495569,0.5988142840279309,0.21881518706831637
5375000000.0,0.6839086413383484,0.6659028646322515,0.5973283062115685,0.2317441599478659
5500000000.0,0.6800491809844971,0.6647269122188433,0.5952407889492943,0.197941197537155
5625000000.0,0.6713917255401611,0.6630068998869418,0.5925445990533488,0.10915872876275085
5750000000.0,0.6589375734329224,0.660735389297581,0.5892305891148854,-0.023665923742362732
5875000000.0,0.645612895488739,0.6579025805357734,0.5852876192998607,-0.16378786906456894
6000000000.0,0.6355782151222229,0.6544962915717015,0.5807025884298929,-0.25476374192574447
